 1. ё : True, д : True, л : False, м : False, у : False, т : False,  2. а : False, й : True, о : True, м : True, щ : True, ь : True,  3. н : True, р : True, т : True, х : True, ф : True, ц : True,  4. е : True, о : False, ш : True, ы : True, ъ : True, э : True,  5. ж : True, з : True, к : False, п : True, н : False, ч : True,  6. в : True, л : True, и : True, с : False, у : True, ю : True,  7. а : False, б : True, е : False, и : False, о : False, я : True,  8. г : True, а : True, к : True, с : True, р : False, ф : False,  - 13293  time: 2013-01-08 00:01:09
 1. д : True, к : True, л : False, м : False, у : False, т : False,  2. а : False, й : True, о : True, м : True, щ : True, ь : True,  3. н : True, р : True, т : True, х : True, ф : True, ц : True,  4. а : False, е : True, о : False, ы : True, ъ : True, э : True,  5. ж : True, з : True, к : False, п : True, н : False, ч : True,  6. в : True, л : True, и : True, с : False, у : True, ю : True,  7. б : True, е : False, и : False, о : False, ш : True, я : True,  8. ё : True, г : True, а : True, с : True, р : False, ф : False,  - 13601  time: 2013-01-08 00:02:21
 1. к : True, л : False, м : False, у : False, т : False, ц : True,  2. а : False, й : True, о : True, м : True, щ : True, ь : True,  3. д : True, н : True, р : True, т : True, х : True, ф : True,  4. а : False, е : True, о : False, ы : True, ъ : True, э : True,  5. ж : True, з : True, к : False, п : True, н : False, ч : True,  6. в : True, л : True, и : True, с : False, у : True, ю : True,  7. б : True, е : False, и : False, о : False, ш : True, я : True,  8. ё : True, г : True, а : True, с : True, р : False, ф : False,  - 13659  time: 2013-01-08 00:02:49
 1. к : True, л : False, м : False, у : False, т : False, ц : True,  2. к : False, й : True, о : True, м : True, щ : True, ь : True,  3. д : True, н : True, р : True, т : True, х : True, ф : True,  4. а : False, е : True, о : False, ы : True, ъ : True, э : True,  5. а : False, ж : True, з : True, п : True, н : False, ч : True,  6. в : True, л : True, и : True, с : False, у : True, ю : True,  7. ё : True, б : True, е : False, и : False, о : False, я : True,  8. г : True, а : True, с : True, р : False, ф : False, ш : True,  - 13744  time: 2013-01-08 00:08:04
 1. к : True, л : False, м : False, у : False, т : False, ц : True,  2. а : False, й : True, о : True, м : True, щ : True, ь : True,  3. д : True, н : True, р : True, т : True, х : True, ф : True,  4. а : False, е : True, о : False, ы : True, ъ : True, э : True,  5. ж : True, з : True, к : False, п : True, н : False, ч : True,  6. в : True, л : True, и : True, с : False, у : True, ю : True,  7. ё : True, б : True, е : False, и : False, о : False, я : True,  8. г : True, а : True, с : True, р : False, ф : False, ш : True,  - 13927  time: 2013-01-08 00:09:04
 1. к : True, л : False, м : False, у : False, т : False, ц : True,  2. а : False, й : True, о : True, м : True, щ : True, ь : True,  3. ж : True, д : True, н : True, р : True, т : True, ф : True,  4. а : False, е : True, о : False, ы : True, ъ : True, э : True,  5. з : True, к : False, п : True, н : False, х : True, ч : True,  6. в : True, л : True, и : True, с : False, у : True, ю : True,  7. ё : True, б : True, е : False, и : False, о : False, я : True,  8. г : True, а : True, с : True, р : False, ф : False, ш : True,  - 13935  time: 2013-01-08 00:18:44
 1. з : True, к : True, л : False, у : False, т : False, ц : True,  2. а : False, й : True, о : True, м : True, щ : True, ь : True,  3. ж : True, д : True, н : True, р : True, т : True, ф : True,  4. а : False, е : True, о : False, ы : True, ъ : True, э : True,  5. к : False, п : True, м : False, н : False, х : True, ч : True,  6. в : True, л : True, и : True, с : False, у : True, ю : True,  7. ё : True, б : True, е : False, и : False, о : False, я : True,  8. г : True, а : True, с : True, р : False, ф : False, ш : True,  - 13970  time: 2013-01-08 00:41:41
 1. з : True, к : True, л : False, у : False, т : False, ц : True,  2. к : False, й : True, о : True, м : True, щ : True, ь : True,  3. ж : True, д : True, н : True, р : True, т : True, ф : True,  4. а : False, е : True, о : False, ы : True, ъ : True, э : True,  5. а : False, п : True, м : False, н : False, х : True, ч : True,  6. в : True, г : True, и : True, с : False, у : True, ю : True,  7. ё : True, б : True, е : False, и : False, о : False, я : True,  8. а : True, л : True, с : True, р : False, ф : False, ш : True,  - 14239  time: 2013-01-08 00:53:29
 1. з : True, к : True, л : False, й : True, у : False, т : False,  2. к : False, о : True, м : True, ц : True, щ : True, ь : True,  3. ж : True, д : True, н : True, р : True, т : True, ф : True,  4. а : False, е : True, о : False, ы : True, ъ : True, э : True,  5. а : False, п : True, м : False, н : False, х : True, ч : True,  6. в : True, г : True, и : True, с : False, у : True, ю : True,  7. ё : True, б : True, е : False, и : False, о : False, я : True,  8. а : True, л : True, с : True, р : False, ф : False, ш : True,  - 14269  time: 2013-01-08 00:54:14
 1. з : True, к : True, л : False, й : True, у : False, т : False,  2. к : False, о : True, м : True, ц : True, щ : True, ь : True,  3. ж : True, д : True, н : True, р : True, т : True, ф : True,  4. а : False, е : True, о : False, ы : True, ъ : True, э : True,  5. в : True, п : True, м : False, н : False, х : True, ч : True,  6. г : True, а : False, и : True, с : False, у : True, ю : True,  7. ё : True, б : True, е : False, и : False, о : False, я : True,  8. а : True, л : True, с : True, р : False, ф : False, ш : True,  - 14347  time: 2013-01-08 01:01:10
 1. з : True, к : True, л : False, й : True, у : False, т : False,  2. к : False, о : True, м : True, ц : True, щ : True, ь : True,  3. а : True, д : True, н : True, р : True, т : True, ф : True,  4. а : False, е : True, о : False, ы : True, ъ : True, э : True,  5. п : True, м : False, н : False, с : False, х : True, ч : True,  6. в : True, г : True, а : False, и : True, у : True, ю : True,  7. ё : True, б : True, е : False, и : False, о : False, я : True,  8. ж : True, л : True, с : True, р : False, ф : False, ш : True,  - 14665  time: 2013-01-08 01:06:46
 1. з : True, к : True, л : False, й : True, у : False, т : False,  2. к : False, о : True, м : True, ц : True, щ : True, ь : True,  3. а : True, д : True, н : True, р : True, т : True, ф : True,  4. а : False, е : True, о : False, ы : True, ъ : True, э : True,  5. в : True, м : False, н : False, с : False, х : True, ч : True,  6. г : True, а : False, и : True, п : True, у : True, ю : True,  7. ё : True, б : True, е : False, и : False, о : False, я : True,  8. ж : True, л : True, с : True, р : False, ф : False, ш : True,  - 14796  time: 2013-01-08 01:14:44
 1. з : True, к : True, л : False, о : True, у : False, т : False,  2. к : False, й : True, м : True, ц : True, щ : True, ь : True,  3. д : True, н : True, р : True, т : True, ф : True, ч : True,  4. а : False, е : True, о : False, ы : True, ъ : True, э : True,  5. в : True, а : True, м : False, н : False, с : False, х : True,  6. г : True, а : False, и : True, п : True, у : True, ю : True,  7. ё : True, б : True, е : False, и : False, о : False, я : True,  8. ж : True, л : True, с : True, р : False, ф : False, ш : True,  - 15159  time: 2013-01-08 01:24:34
 1. д : True, к : True, л : False, о : True, у : False, т : False,  2. к : False, й : True, м : True, ц : True, щ : True, ь : True,  3. з : True, н : True, р : True, т : True, ф : True, ч : True,  4. а : False, е : True, о : False, ы : True, ъ : True, э : True,  5. в : True, а : True, м : False, н : False, с : False, х : True,  6. г : True, а : False, и : True, п : True, у : True, ю : True,  7. ё : True, б : True, е : False, и : False, о : False, я : True,  8. ж : True, л : True, с : True, р : False, ф : False, ш : True,  - 15161  time: 2013-01-08 01:37:36
 1. ж : True, к : True, л : False, о : True, у : False, т : False,  2. к : False, й : True, м : True, ц : True, щ : True, ь : True,  3. з : True, н : True, р : True, т : True, ф : True, ч : True,  4. а : False, е : True, о : False, ы : True, ъ : True, э : True,  5. в : True, а : True, м : False, н : False, с : False, х : True,  6. г : True, а : False, и : True, п : True, у : True, ю : True,  7. ё : True, б : True, е : False, и : False, о : False, я : True,  8. д : True, л : True, с : True, р : False, ф : False, ш : True,  - 15248  time: 2013-01-08 02:02:22
 1. ж : True, к : True, л : False, о : True, у : False, т : False,  2. к : False, й : True, м : True, ц : True, щ : True, ь : True,  3. д : True, н : True, р : True, т : True, ф : True, ч : True,  4. а : False, е : True, о : False, ы : True, ъ : True, э : True,  5. в : True, а : True, м : False, н : False, с : False, х : True,  6. г : True, а : False, и : True, п : True, у : True, ю : True,  7. ё : True, б : True, е : False, и : False, о : False, я : True,  8. з : True, л : True, с : True, р : False, ф : False, ш : True,  - 15251  time: 2013-01-08 02:13:57
 1. ж : True, к : True, л : False, о : True, у : False, т : False,  2. к : False, й : True, м : True, ц : True, щ : True, ь : True,  3. д : True, н : True, р : True, т : True, ф : True, ч : True,  4. а : False, е : True, о : False, ы : True, ъ : True, э : True,  5. в : True, а : True, м : False, н : False, с : False, х : True,  6. а : False, и : True, п : True, у : True, ф : False, ю : True,  7. ё : True, б : True, е : False, и : False, о : False, я : True,  8. г : True, з : True, л : True, с : True, р : False, ш : True,  - 15296  time: 2013-01-08 03:18:20
 1. д : True, к : True, л : False, о : True, у : False, т : False,  2. к : False, й : True, м : True, ц : True, щ : True, ь : True,  3. ж : True, н : True, р : True, т : True, ф : True, ч : True,  4. а : False, е : True, о : False, ы : True, ъ : True, э : True,  5. в : True, а : True, м : False, н : False, с : False, х : True,  6. а : False, и : True, п : True, у : True, ф : False, ю : True,  7. ё : True, б : True, е : False, и : False, о : False, я : True,  8. г : True, з : True, л : True, с : True, р : False, ш : True,  - 15343  time: 2013-01-08 03:31:42
